DISEASES_spacy,DRUGS_spacy,DISEASES_BERT,DRUGS_BERT
granuloma,,,
hemoptysis,showd,,
bleeding,,,
hemoptysis,,,
bleeding,,,
bleeding,,,
hemoptysis,,,
granulomas,,,
histoplasmosis,,,
granuloma,,,
histoplasmosis,,,
malignancy,,,
germ cell tumor,,,
a floridly,,,
histoplasma,,,
calcifications,,,
inflammation,itraconazole,,
chest pain,,,
hemoptysis,,,
granuloma,,,
fevers,itraconazole,,
consolidations,itraconazole,,
lymphadenopathy,levofloxacin,,
coagulopathy,vitamin k,,
nutritional deficiency,,,
illness,,,
headache,,,
cns disease,gabapentin,,
pain,tylenol,,
ache,oxycodone,,
trigeminal neuralgia,,,
pain,,,
chronic illness,,,
pain,itraconazole,,
granuloma,omeprazole,,
histoplasmosis,,,
end stage renal disease,,,
nephropathy,,,
nephropathy,,,
,glucose lactate,,
,cellcept,,
,solumedrol,,
ischemia,,,
thrombi,ig,,
interstitial hemorrhage,solumedrol,,
arteritis,,,
volume overload,thymoglobulin,,
atrial fibrillation,rituximab,,
,ris,,
,amiodarone,,
hemorrhagic coagulative necrosis,,,
inflammation,,,
fibroplasia,,,
arterial disease,neurontin allopurinol synthroid,,
febrile,lipitor protonix asp,,
swelling,,,
pain,,,
kidney end stage renal disease,irin plavix,,
thrombocytopenia,,,
hypocalcemia,,,
artery disease,,,
atrial fibrillation thallasemia,,,
blood loss anemia,,,
,nitrite,,
,glucose,,
,ketone,,
,bilirubin,,
,urea,,
,creat sodium potassium chloride,,
,calcium phosphate magnesium,,
,urea,,
,creat,,
wegener vasculitis,,,
hemorrhage,,,
septal thickening,,,
hemorrhage,,,
opportunistic infection,,,
aspergillosis,,,
splenomegaly,,,
vascular calcifications,,,
horseshoe kidney extensive,,,
thoracic spine asymmetric sclerosis,,,
degenerative disease,,,
arthritis,,,
pulmonary hypertension,,,
parathyroid adenoma,,,
opacity,,,
infection,,,
hemorrhage,,,
infection,,,
hemorrhage,,,
hematoma,,,
pericardial effusion,revlimid,,
cardiomegaly,,,
pulmonary artery,,,
pulmonary hypertension,,,
granulomatosis,,,
aml,,,
pancytopenia,,,
malaise fever,,,
opportunistic infections,,,
hemorrhage,,,
respiratory distress,,,
hemoptysis,oxygen,,
edema,desaturating,,
thrombocytopenias,vanco cefepime,,
anemia,voriconazole,,
aml transformation,levaquin,,
renal disease,,,
lung lesions,,,
pericardial effusion left pleural effusion,,,
infection,,,
hemorrhage,,,
thrombocytopenia,,,
bleeding,,,
anxiety,metoprolol tartrate,,
,lorazepam,,
,citalopram hydrobromide,,
,calcitriol,,
,allopurinol,,
,vitamin b,,
,calcium citrate,,
,sodium bicarbonate,,
,nifedipine,,
headedness,,,
chest pain,ethanol,,
hypotensive,calcium phosphate magnesium,,
heart block,glucose urea,,
,creat sodium potassium chloride,,
,lactate,,
,cl lipid cholesterol,,
,chol,,
,folate iron,,
vessel disease,ated,,
infarct,,,
pulmonary systolic hypertension,,,
systemic arterial systolic hypertension,,,
stenosis,ting of the distal,,
vessel coronary artery disease acute inferior myocardial infarction,,,
pulmonary artery hypertension,,,
right ventricular dysfunction,,,
ventricular hypertrophy,,,
left ventricular systolic dysfunction,,,
depressed,,,
valvular regurgitation,,,
aortic valve stenosis,,,
aortic regurgitation,,,
mitral regurgitation,,,
pulmonary artery systolic,,,
hypertension,,,
pericardial effusion,,,
ventricular dysfunction,,,
inferior inferolateral myocardial infarction,,,
mitral regurgitation,,,
pulmonary artery systolic pressures,,,
overload or heart failure,,,
acute cardiopulmonary disease,,,
heart block,plavix,,
,heparin,,
,integrilin,,
heart block,aspirin clopidogrel atorvastatin metoprolol lasix,,
mitral regurgitation,lisinopril,,
mitral regurgitation,,,
valve repair renal insufficiency,creatinine,,
anemia,creatinine,,
anemia,creatinine,,
,potassium,,
bleeding,iron,,
anemia,folate,,
chronic renal insufficiency,,,
anemia,,,
bleeding,,,
heart block,,,
htn hyperlipidemia,cellcept,,
cardiomyopathy,,,
chest pain,,,
pain,,,
fever,,,
bronchitis,,,
hyperkalemia,,,
bleeding,,,
tooth,,,
bleeding,,,
fistula,,,
bleeding,,,
fistula bleeding,,,
uremic platelet dysfunction,,,
bleeding,,,
tooth,,,
arterial bleeding,,,
fistula,,,
bleeding,,,
bleeding,,,
fistula,,,
chest pain,ite,,
hemolysis,,,
schistocytes,,,
dic nl coags fibrinogen,,,
transaminitis,,,
,glucose urea,,
,creat sodium potassium chloride,,
,calcium phosphate magnesium,,
,potassium,,
,bili,,
,potassium,,
,glucose,,
,glucose urea,,
,creat sodium potassium,,
htn hyperlipidemia,chloride,,
cardiomyopathy,,,
pain,,,
abdominal pain,,,
hyperkalemia,,,
uremic bleeding,,,
chest pain,,,
angina,,,
chest pain,,,
aneurysm,,,
pulmonary embolism,,,
chest pain,,,
abdominal pain diarrhea,,,
abdominal pain,,,
chronic complaint her abdominal,,,
autoimmune hepatitis,,,
abdominal pain,,,
fever,,,
hyperkalemia,creatinine,,
hyperkalemia,,,
uremia,,,
uremic bleeding,,,
bleeding,,,
bleeding,,,
bleeding,,,
pancytopenia,,,
uremic bleeding,heparin,,
thrombotic,argatroban,,
cardiomyopathy tte,qhs,,
hypertension,nifedipine,,
hyperkalemia,atenolol,,
,folic acid,,
,tacrolimus cellcept,,
hyperkalemia uremic bleeding,sulfa vancomycin haldol,,
chest pain,,,
pancytopenia,,,
thrombocytopenia,,,
hypertension,,,
vasculitic illness,lovenox,,
aphasia,,,
aphasia facial weakness,,,
hand clumsiness,,,
stroke,,,
fever,lovenox,,
myalgias,tte,,
fungal cx malaria babesiosis,pcp,,
,atovaquone,,
opacity,levofloxacin vancomycin,,
fever,doxycycline,,
infectious,prednisone,,
undifferentiated autoimmune vasculitis,methylprednisolone fol,,
multiple venous clots,prednisone,,
,steroids,,
,atovaquone,,
,pcp,,
fever,lovenox,,
swelling,lovenox,,
hemorrhagic stroke,prednisone,,
,atovaquone,,
,lovenox,,
thrombocytopenia,protamine,,
hemorrhage,,,
hematoma,,,
enlargement of the left frontal lobe intraparenchymal,,,
hemorrhage,,,
enlargement of subdural hematoma,,,
cta head neck unremarkable ct angiogram of the head and neck no,,,
intracranial vascular malformation,,,
hematoma,,,
hematoma,,,
hemorrhage,,,
arterial venous vascu,,,
thrombophlebitis,prednisone,,
right facial weakness,atovaquone,,
right hand,,,
clumsiness,,,
fever,,,
vasculitis,,,
jirovecii infection,,,
brachial dvt,aspirin,,
thrombophlebitis,,,
weakness,,,
dysarthria,,,
nonfluent aphasia,,,
,prednisone atovaquone colchicine,,
vascular anomalies,,,
parenchmyal hemorrhage,,,
pancytopenic,,,
thrombophlebitis,,,
lower extremity clots,,,
popliteal vein thrombus,atovaquone,,
venous thrombus,prednisone,,
dysarthria,keppra,,
,prednisone,,
,qhs,,
,atovaquone,,
,colchicine,,
,clotrimazole,,
,qid,,
,senna,,
,tylenol,,
,morphine,,
,vitamin d,,
insomnia,dulcolax,,
hemorrhage subdural hemorrhage,neurontin,,
,qhs,,
,qhs,,
,glucose,,
,creat na,,
atheroma,,,
pulmonic valve pulmonary artery physiologic normal pr pericardium no pericardial effusion,,,
atheroma,,,
aortic valve stenosis,,,
aortic regurgitation,,,
mitral regurgitation,,,
pericardial effusion,,,
valvular leak mean gradient trace mr first name titles last name titles r systolic fxn aorta,vancomycin,,
oliguria,coumadin,,
hypotension,amiodarone,,
leaks,,,
left effusion,,,
glucose intolerance dyslipidemia hashimoto thyroiditis,coumadin,,
,coumadin,,
,arimidex atenolol,,
,trazadone,,
,meloxican mirapex,,
copd,steroids,,
hypoxia,,,
seizure,,,
respiratory failure,,,
infection,cephalosporins,,
bronchitis,vanco,,
seizure,levofloxacin,,
posturing,,,
seizure,ativan,,
somnolent,fosphenytoin,,
status epilepticus,,,
pneumoitis,,,
esbl,tte,,
diastolic dysfunction,benzodiazepines,,
pulmonary artery htn,prednisone,,
,glargine,,
,ethanol,,
,vit b,,
,folate,,
,calcium phosphate magnesium,,
,glucose urea,,
,creat sodium potassium chloride,,
,lactate,,
,nitrite,,
,glucose,,
,ketone,,
,bilirubin,,
,ammonia,,
copd,lactate,,
,phenytoin,,
,cortisol,,
,calcium phosphate magnesium,,
,glucose urea,,
,creat sodium potassium chloride,,
,cortisol,,
,cortisol,,
seizure,meropenum,,
leukocytosis hypoxia,vanco,,
seizure,,,
hypoxic resp failure,,,
hypoxic hypercarbic respiratory failure,,,
esbl,desaturated,,
bacteremia,,,
edema,,,
heart failure,,,
seizure,dilantin,,
seizure,,,
fever,,,
hypoxia,,,
encephalopathy,,,
status epilepticus,,,
seizure,dilantin,,
,dilantin,,
,dilantin,,
,dilantin,,
seizure,vanco,,
leukocytosis,meropenem,,
fever,,,
pneumonia pneumonitis,,,
hypoxia,,,
pneumonia,,,
sepsis,,,
hypotension adrenal insufficiency,levophed,,
adrenal insufficiency,steroids,,
hypotension,cortisol,,
,cortisol,,
,steroids,,
,prednisone,,
pulm edema,prednisone,,
pulm edema,,,
pulm edema,,,
diastolic dysfunction diuresed,,,
septic,vit b,,
lower extremity,folate,,
edema,,,
anemia,,,
chronic disease,,,
thrombocytopenia,,,
acute illness,hydrocortisone,,
,glargine,,
,glargine,,
nsvt,prozac,,
pulmonary artery htn,,,
hepatitis,,,
transaminitis,,,
depression,,,
pneumonia,heparin,,
death,lansoprazole,,
weakness,dilantin,,
seizure,dilantin,,
death,prozac,,
,oxybutynin,,
,protonix,,
,dilantin,,
,qid,,
epileptic,tylenol,,
primary recurrent respiratory failure seizure,,,
pneumonia,,,
heart failure adrenal insufficiency,,,
ventricular tachycardia,,,
thrombocytopenia diarrhea,,,
copd hepatitis c,,,
seizure,,,
respiratory distress syndrome,,,
pneumonia,,,
sepsis diabetes mellitis,,,
chest pain,,,
pain,lled,,
pain,glucose,,
,creat na,,
,heparin,,
,neosynephrine,,
,propofol,,
coronary artery disease s p coronary artery bypass,simvastatin,,
hypertension hyperlipidemia,aldactone,,
vascular disease gastroesophageal reflex,,,
hypertension,labetalol,,
edema,,,
preeclampsia,,,
dyspnea,,,
pleural effusions,,,
hyperthyroidism,magnesium,,
orthopnea,esmolol,,
uterine atony,metoprolol,,
,fentanyl,,
,morphine,,
,pitocin,,
myocardial edema inflammation,azole,,
infarction,,,
biatrial enlargement normal coronary artery origins small pericardial effusion,,,
pleural effusions,,,
pulmonary embolism,,,
alveolar pulmonary edema,,,
bronchopneumonia,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,calcium,,
preeclampsia,,,
thyrotoxicosis,,,
cardiomyopathy respiratory failure,,,
cardiomyopathy,,,
pleural effusions tte,,,
cardiomyopathy,,,
,lisinopril,,
,labetalol,,
,lasix,,
heart failure,magnesium,,
preeclampsia,methimazole,,
hypertension,,,
proteinuria,,,
thyrotoxicosis,,,
exopthalmos tremor,,,
cardiomyopathy,,,
bleeding,misoprostol,,
vaginal bleeding,,,
bleeding,,,
preeclampsia thyrotoxicosis,,,
cardiomyopathy,,,
seizure disorder,hepatitis b cad,,
cardiomyopathy,vancomycin,,
bacteremia,,,
infection,,,
right hip pain,,,
hypotension,,,
dizziness,lactate,,
sepsis,,,
pain,,,
pain,,,
cough fever,,,
pain,,,
,calcium gluconate,,
,glucose,,
,kayexalate,,
,cefepime,,
fever chills,,,
sweats,,,
weight loss,,,
headache,,,
sinus tenderness rhinorrhea,,,
congestion,,,
cough shortness of breath,,,
wheezing,,,
chest pain,,,
nausea vomiting diarrhea constipation,,,
abdominal pain,,,
dysuria,,,
arthralgias,,,
myalgias,,,
rashes,,,
pain,,,
fracture heterotopic ossification,,,
subchondral sclerosis of the acetabulum,,,
avascular necrosis,,,
muscle wasting,,,
fracture,,,
dislocation,,,
fracture,,,
muscle wasting,,,
paraplegia,,,
spondyloarthropathy,,,
paraplegia,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,calcium,,
end stage renal disease,vanco,,
cardiomyopathy,vanco,,
bacteremia,vanco,,
infection,vanco,,
,lactate,,
,lactate,,
,hepatitis b coronary artery disease,,
complaint of right hip,quently,,
knee pain,vancomycin,,
hypotension,meropenem,,
hypotensive,vancomycin,,
knee pain,,,
acetabular fracture,,,
avascular necrosis,,,
scooter,,,
chest pain,,,
fevers chills,,,
cough,,,
knee pain,,,
hypotension hypotension,vancomycin,,
hypotension,,,
pain,midodrine,,
right knee pain,,,
septic arthritis,,,
pain,keppra oxycarbazepine,,
seizure,allopurinol,,
,digoxin,,
,folic acid,,
,gabapentin,,
,levetiracetam,,
,levetiracetam,,
,omeprazole,,
,oxcarbazepine,,
,oxcarbazepine,,
,simvastatin,,
pain fever,acetaminophen,,
constipation senna,aspirin,,
constipation camphor menthol lotion,bisacodyl,,
,vancomycin,,
pain,oxycodone,,
hypotension,,,
hypovolemia avascular necrosis,,,
knee effusion,,,
cystitis,,,
colitis,,,
infections recurrent utis,,,
abdominal pain,,,
abdominal pain,,,
dysuria,,,
nausea and vomiting,levofloxacin flagyl,,
abdominal pain,,,
chills,,,
ascites,,,
hypotensive,,,
pain,meropenem,,
hypotensive,tylenol,,
hypotensive,dilaudid,,
urosepsis,dilaudid,,
,levophed,,
respiratory distress,oxygen,,
hypertensive,lasix,,
pulmonary edema,dilaudid,,
,hydralazine,,
initiation of bipap,nitroglycerin sl,,
shortness of breath,glucose,,
chest pain,creat na,,
abdominal pain,,,
totbili pm blood lipase,,,
blood aspergillus galactomannan antigen pnd pm blood b glucan pnd discharge labs am blood wbc hgb hct mcv mch mchc rdw plt,lactate,,
hemolytic,bili,,
,bili,,
,glucose,,
,creat na,,
,calcium,,
opacification,alpha streptococcus,,
pneumonia,,,
vascular congestion,,,
pleural effusion,,,
ascites,,,
pleural effusions,,,
abscess,,,
pyelonephritis,,,
fullness,,,
opacity,,,
pneumonitis,,,
hypersensitivity pneumonitis,,,
edema,,,
pneumonia,,,
aortic stenosis,,,
aortic regurgitation,,,
mitral valve prolapse,,,
mitral regurgitation,,,
pericardial effusion,,,
aortic regurgitation,,,
mitral regurgitation,,,
mitral regurgitation,,,
pulmonary opacifications,,,
pulmonary edema,,,
hemorrhage,,,
effusion,,,
opacification,,,
pleural effusion,,,
volume loss central catheter,,,
small bowel obstruction,,,
loop of bowel,,,
dilated bowel loop,,,
small bowel obstruction,,,
abscess,,,
left hydronephrosis,,,
cystitis,lled,,
bowel obstruction oral contrast,,,
hydroureteronephrosis,,,
sepsis,,,
abdominal pain,meropenem,,
ascites,norepinephrine,,
infection,lactate,,
,ethanol,,
abdominal pain pain,dilaudid,,
abdominal pain,dilaudid,,
pain,gaba,,
pain,,,
pain,,,
pain,,,
hypertensive,methadone dilaudid,,
,gabapentin anemia,,
,oxygen,,
,oxygen,,
,lasix,,
,hydralazine,,
,nitro,,
,lasix,,
pneumonia,azithromycin,,
pneumonitis,,,
hypersensitivity pneumonitis,,,
toxicity,,,
pneumonitis,,,
ypoxemia,oxygen,,
lung toxicity,azithromycin,,
pneumonia,,,
urosepsis,,,
urinary complaints,hyoscyamine,,
bladder spasm pain anemia,,,
inflammation,,,
enteritis,,,
cystitis,,,
infection,,,
myelodysplasia,,,
hemolysis,iron,,
hemolytic,,,
abdominal pain,methadone,,
abdominal pain,oxycodone,,
cancer,dilaudid,,
vomiting,,,
hydronephrosis,creatinine,,
urinoma,,,
hydronephrosis,alprazolam fluoxetine,,
gut syndrome,gabapentin methadone,,
anxiety depression,,,
insomnia ergocalciferol vitamin d,levothyroxine osteoporosis,,
,vitamin d calcium htn,,
,lisinopril,,
,alprazolam,,
,qhs,,
,fexofenadine,,
,fluoxetine,,
pain,gabapentin,,
,qid,,
,levothyroxine,,
,pantoprazole,,
,pilocarpine hcl,,
,methadone,,
,soln,,
,oxycodone,,
pain,idium,,
,ondansetron,,
,lisinopril,,
,vitamin b,,
,darifenacin,,
,hyoscyamine sulfate,,
bladder spasm ativan,zolmitriptan,,
anxiety,ethanol,,
headache calcium carbonate,,,
headache,,,
urosepsis anemia,,,
pulmonary infiltrates hydronephrosis,,,
alcoholic cirrhosis varices s p tips in ischemic bowel s p r colectomy and ileostomy reversal,alcohol,,
alcohol abuse,,,
bloody bowel movements,,,
nausea,octreotide,,
vomiting,,,
hematemesis,,,
ulcer,zofran,,
ascites,glucose urea,,
splenomegaly,creat sodium potassium chloride,,
cirrhosis,calcium phosphate,,
,ethanol,,
bleeding,,,
ulcer,,,
ulcer,,,
bleeding,,,
ulcer,,,
bleeding,,,
ulcer,,,
ulcer,,,
ulcer,,,
bleeding,,,
ulcer,,,
ulcer,alcohol,,
pylori,,,
bleeding,,,
ulcer,,,
bleed,,,
ascites,,,
splenomegaly,,,
cirrhosis,glucose,,
bleeding,creat na,,
,calcium,,
,cirrhosis c b portal htn,,
bleed,,,
bleed,,,
bleeding,,,
ulcer,,,
bleed,,,
variceal bleeds,,,
splenomegaly,,,
variceal bleed,octreotide,,
ulcer,pantoprazole,,
bleed,pantoprazole,,
,carafate susp,,
,ceftriaxone,,
bleed,spironolactone,,
cirrhosis,lasix,,
,heparin,,
,cipro,,
,carafate,,
,furosemide,,
thrombocytopenia,pironolactone,,
,lactulose,,
,alcohol,,
,alcohol,,
,folate multivitamins,,
,thiamine,,
thrombocytopenia,,,
cirrhosis,,,
metabolic acidosis,,,
ketoacidosis,,,
primary respiratory alkalosis,,,
anxiety,lorazepam,,
primary metabolic alkalosis,clotrimazole cream,,
alkalosis,fluconazole,,
bleed,,,
anxiety,,,
anxiety rash,,,
rash,,,
serpiginous,,,
tinea corporis,,,
excoriations,,,
rash,,,
rash,gabapentin hypothyroidism,,
depression,levothyroxine sodium,,
,cipro,,
,carafate,,
gastrointestinal bleed,levothyroxine,,
,lansoprazole,,
,oxide,,
,furosemide,,
,spironolactone,,
,folic acid,,
,vitamin cap,,
,docusate sodium,,
,gabapentin,,
,oxycodone,,
,lactulose,,
,syrup,,
copd afib,,,
femur fracture,,,
pain,,,
pain,,,
head or neck was feeling fine earlier in the,,,
copd,glucose urea,,
,creat sodium potassium chloride,,
,calcium phosph,,
angulation,magnesium,,
fracture,,,
calcifications,,,
right hip degenerative changes of the lower lumbar spine,,,
fracture,,,
fracture,,,
fracture,,,
angulation,,,
atrial mass thrombus,,,
left ventricular systolic function,,,
aortic stenosis,,,
mitral valve prolapse,,,
mitral regurgitation,,,
pulmonary artery systolic hypertension,,,
pericardial effusion,,,
regional dysfunction,,,
mitral regurgitation pulmonary artery systolic hypertension,,,
delirium,,,
intracranial hemorrhage,,,
infarct,,,
intracranial hemorrhage,,,
volume loss,,,
atelectasis,,,
retrocardiac atelectasis,,,
fracture,,,
hypotension,,,
hypotension,,,
blood loss,,,
blood loss,lasix,,
,lasix,,
,amiodarone,,
delirium,statin copd,,
,albuterol,,
,amiodarone,,
,metoprolol agitation,,
pain,haloperidol,,
blood loss,,,
bleeding,,,
hypothyroidism,,,
,lovenox,,
,coumadin,,
,lovenox,,
,amiodarone,,
,amiodarone,,
,aspirin,,
,atorvastatin,,
shortness of breath,levothyroxine,,
shortness of breath,warfarin,,
,metoprolol tartrate,,
,ferrous sulfate,,
,albuterol,,
femoral neck fracture,lasix,,
atrial fibrillation hypotension,,,
chronic obstructive pulmonary disease chronic renal insufficiency peripheral vascular disease,,,
hypotension,,,
chest pain,,,
ventricular septal defect,,,
,glucose urea,,
,creat sodium potassium chloride,,
,glucose,,
,creat na,,
thrombus,,,
calcifications,,,
pulmonic valve pulmonary artery normal pulmonic valve leaflet no ps physiologic pr peri,,,
pericardial effusion,,,
akinetic,,,
thrombus,,,
atrial septal defect,,,
mitral regurgitation,milrinone,,
pericardial effusion,,,
aortic stenosis,,,
aortic valve ruptured chordae,,,
leaks,,,
myocardial infarction,,,
ventricular septal defect,,,
ventricular septal defect,,,
postinfarct ventricular septal defect,,,
hypotensive,,,
acute renal failure,naproxen,,
liver failure,methotrexate,,
intubated and critically ill,lansoprazole,,
nausea vomiting,,,
lightheadedness,,,
syncope,,,
constipation,,,
diarrhea,,,
watery,,,
lightheadedness shortness of breath,,,
pain,,,
hemorrhoids,,,
bleed,,,
bloody bowel movement,appetite weight loss lightheadedness shortness of breath,,
chills abdominal pain nausea vomiting loss,,,
dyspnea,,,
syncope,,,
,glucose urea,,
,creat sodium potassium chloride,,
,glucose,,
,creat na,,
bleeding,calcium,,
bleeding,,,
bleeding,,,
chronic mucosal sinus disease,,,
gastrointestinal bleeding,,,
hypoventilatory,,,
opacity,,,
pericardial effusion,,,
adenopathy,,,
cholelithiasis,,,
acute cholecystitis no lesions,,,
small bowel,suggesing,,
fibroid uterus cholelithiasis degenerative,,,
adenocarcinoma,,,
polyp,,,
polyp,,,
bleeding,,,
bleeding,,,
bleeding,,,
polyp,,,
polyp,,,
bleeding,,,
polyp,,,
polyp,,,
partial obstruction,,,
polyp,,,
polyp,,,
pain,,,
hypertension,,,
excedrin,,,
iddm hypothyroidism ventricular arrythmia,,,
nephrolithiasis,ceftriaxone,,
left flank pain nausea and vomiting,ampicillin,,
hydronephrosis,,,
hypotensive,phenylepherine,,
cpap,cefepime,,
hydronephrosis,,,
hydroureteronephrosis,,,
pulmonary edema,,,
atelectasis,,,
pneumonia,,,
atrial septal defect,,,
patent foramen ovale,,,
ventricular hypertrophy,,,
left ventricular systolic dysfunction,,,
abnormal septal motion position consistent with right ventricular pressure volume overload the diameters of aorta,,,
aortic stenosis,,,
aortic regurgitation,,,
mitral valve prolapse,,,
mitral regurgitation,,,
pulmonary artery systolic pressure,,,
pulmonary embolism,,,
right ventricular ischemia,,,
pulmonary embolism,,,
pulmonary edema,,,
atelectasis,,,
,piperacillin tazobactam,,
,cefazolin,,
,ampicillin,,
,ampicillin sulbactam,,
,cefazolin,,
,cefepime,,
,ceftazidime,,
,ceftriaxone,,
,ciprofloxacin,,
,gentamicin,,
,meropenem,,
,nitrofurantoin,,
,tobramycin,,
,trimethoprim sulfa,,
,cefazolin,,
,piperacillin tazobactam,,
,ampicillin,,
,ampicillin sulbactam,,
,cefazolin,,
,cefepime,,
,ceftazidime,,
,ceftriaxone,,
,ciprofloxacin,,
,gentamicin,,
,meropenem,,
,piperacillin,,
,tobramycin,,
,trimethoprim sulfa,,
blood neuts lymphs monos eos baso am blood plt,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,calcium,,
hypothyroidism,pressors,,
septic nephrolithiasis,,,
bacteremia,,,
hypotension,,,
urosepsis,,,
obstructive uropathy nephrolithiasis,,,
hydronephrosis,,,
nephrolithiasis,,,
hydronephrosis,,,
hypotensive,vancomycin,,
hypotensive,cefepime,,
,ceftriaxone,,
nephrolithiasis,,,
hydronephrosis,,,
respiratory failure hypoxia hypercarbia,,,
hypoxemia,oxygen,,
obesity hypoventilation,,,
cpap,,,
cpap,,,
pulmonary edema,lasix,,
atelectasis,,,
systolic heart failure,,,
sepsis lasix spironolactone,,,
pulmonary edema,,,
ischemia,lasix,,
ischemia,lantus,,
,premeal humalog,,
ventricular arrhythmia,levothyroxine,,
hypothyroidism,bupropion,,
depression,citalopram,,
,furosemide,,
insomnia,gabapentin,,
nephrolithiasis,levothyroxine sodium,,
septicemia,metoprolol succinate,,
,nystatin triamcinolone ointment,,
,simvastatin,,
,spironolactone,,
,trazodone,,
,valsartan,,
,aspirin,,
bacterial urinary tract infection hypoxemia,,,
metabolic acidosis hypercarbia,,,
sepsis,vancomycin osteomyelitis,,
fever shortness of breath,,,
cough,,,
fever,,,
tracheobronchomalacia,,,
shivering,oxygen,,
tachypneic,,,
hypertensive,,,
cough,,,
phlegm,,,
shortness of breath,,,
chest pain,,,
orthopnea abdominal pain nausea vomiting diarrhea,,,
dizziness,,,
atelectasis,,,
pleural effusion,,,
pleural effusion,,,
malignancy,,,
atelectasis,,,
pneumothorax,,,
htn,tbm,,
effusion,,,
tracheobronchomalacia,,,
hypoxia,,,
hypoxia,,,
pneumonia pulmonary edema,,,
collapse fever,,,
aggressive pulmonary toillette,oxygen,,
hypoxia,,,
pleural effusion,,,
thrombocytopenia,epogen calcitriol folic acid,,
anxiety,plavix,,
stenosis,citalopram clonazepam,,
,morphine,,
,morphine,,
,metoprolol tartrate,,
,calcitriol,,
,qod lidocaine,,
,folic acid,,
,vancomycin,,
,ascorbic acid,,
,omeprazole,,
,clopidogrel,,
,citalopram,,
,morphine,,
,albuterol sulfate,,
,ipratropium bromide,,
,lactulose,,
,docusate sodium,,
,miconazole nitrate,,
,epoetin,,
,lispro,,
liver failure,na,,
hematemesis,72402,,
abdominal pain nausea vomiting,,,
vomiting,,,
syncope,,,
liver disease,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,calcium,,
,calcium,,
,iron,,
,vanco,,
,lactate,,
,lactate,,
,nitrite,,
,glucose,,
,ketone,,
atelectasis,alcohol,,
chronic liver disease,,,
ventricular hypertrophy,,,
left ventricular systolic function,,,
aortic valve leaflets,,,
valvular aortic stenosis,,,
stroke,,,
aortic regurgitation,,,
mitral regurgitation,,,
mitral valve prolapse,,,
pericardial effusion,,,
ugib syncope variceal bleed,,,
blood loss anemia,,,
hemorrhagic shock,,,
hematemesis,unasyn,,
syncope,octreotide,,
variceal bleed,,,
obesity,,,
variceal bleeding,,,
hematemesis,,,
bleeding,,,
bleeding,,,
bleeding,,,
bleeding,octreotide,,
bleeding resp failure,flagyl,,
orthostatic,flagyl,,
,fentanyl,,
,lasix,,
,diuril,,
klebsiella pneumonia,flagyl,,
colitis,levofloxacin,,
line infection,flagyl,,
sinusitis,,,
cirrhosis,,,
,vitamin k,,
,rifaximin,,
,lactulose,,
,heparin,,
variceal bleeding cirrhosis obstructive sleep apnea,albuterol,,
chest nausea diarrhea,,,
sweats,,,
fatigue,,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,calcium,,
pulmonary edema,,,
,milrinone levophed,,
,propofol,,
,milrinone,,
,milrinone,,
,amiodarone,,
,pvcs,,
,protonix,,
,temazepam,,
,digoxin,,
,lisinopril,,
,heparin,,
,spironolactone,,
,paxil,,
coronary artery disease,levaquin,,
bleeding,amiodarone,,
pain,nitrofurantoin,,
dysuria,,,
chills nausea and vomiting,,,
chest pain,,,
chest pain,,,
chest pain,,,
,glucose,,
,glucose,,
,glucose,,
,glucose,,
,glucose,,
,glucose urea,,
,creat na k cl hco angap,,
,glucose,,
,glucose,,
,lactate,,
,glucose lactate,,
,glucose lactate,,
,glucose lactate,,
,glucose lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
,lactate,,
intrahepatic biliary,lactate,,
,lactate,,
,glucose,,
,glucose,,
,calcium,,
,calcium,,
hemangioma,,,
aggressive lesion,,,
edema,,,
hydronephrosis,,,
hypodensity,,,
infection,,,
infarct,,,
obstruction or wall edema,,,
pneumatosis,,,
lymphadenopathy,,,
fibroids,,,
lymphadenopathy,,,
lipoma,,,
diverticulosis,,,
diverticulitis,,,
atherosclerotic disease,,,
active hemorrhage,,,
pneumatosis,,,
diverticulosis,,,
diverticulitis,,,
hemorrhage,,,
coagulopathy,,,
coagulopathy,,,
ventricular hypertrophy,,,
left ventricular systolic function,,,
depressed,,,
abnormal septal motion position the ascending aorta,,,
calcifications,,,
aortic stenosis,,,
aortic regurgitation,,,
mitral valve prolapse,,,
mitral regurgitation,,,
tricuspid regurgitation,,,
pulmonary artery systolic hypertension,,,
pericardial effusion,,,
right ventricular dysfunction,acti,,
atrial fibrillation,,,
blush,,,
bleed,,,
peritonitis,,,
atrial fibrillation,diltiazem,,
